Publisher Label,Publisher URI,RegistrationDate,Ethnicity,Nationality,Reason,Need,Age,DecisionDate,Decision,DecisionCode
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/07/2005 00:00:00,White: British,UK National,eviction - parents,dependent children,25,22/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/07/2005 00:00:00,White: British,UK National,eviction - parents,dependent children,28,22/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end AST not arrears,dependent children,33,22/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,end AST not arrears,dependent children,30,22/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/08/2005 00:00:00,No Information Provided,Not Rec,eviction - parents,dependent children,26,22/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/06/2005 00:00:00,Mixed: White/Asian,Not Rec,DV - partner,dependent children,37,22/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/07/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,other harassment,violence/harassmnt not DV,21,22/08/2005 00:00:00,management transfer,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/05/2005 00:00:00,White: British,Not Rec,eviction - friends,vulnerable - physical,48,23/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/07/2005 00:00:00,White: British,UK National,eviction - parents,vulnerable-mental illness,18,23/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/07/2005 00:00:00,Black/BlkBrit: African,Not Rec,changed immigration circs,vulnerable - physical,49,23/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/07/2005 00:00:00,Other,Not Rec,eviction - parents,young person 16/17 yrs,16,23/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - relatives,vulnerable - physical,28,23/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/08/2005 00:00:00,Black/BlkBrit: African,Not Rec,other,dependent children,27,23/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,changed immigration circs,dependent children,30,23/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/07/2005 00:00:00,Black/BlkBrit: African,UK National,eviction - friends,dependent children,28,23/08/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/07/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,DV - assoc pers not partn,domestic violence/ threat,24,23/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/05/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - parents,vulnerable-mental illness,24,24/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/07/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,17,24/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,35,24/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/08/2005 00:00:00,White: British,Not Rec,resident llord eviction,dependent children,32,24/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,13/06/2005 00:00:00,White: British,Not Rec,loss of rented - other,care leaver under 21 yrs,20,24/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/08/2005 00:00:00,Other,Not Rec,end AST not arrears,dependent children,38,25/08/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/07/2005 00:00:00,Asian/AsBrit: Indian,UK National,other,vulnerable-mental illness,46,25/08/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/07/2005 00:00:00,Mixed: White/Black Caribn,Not Rec,other harassment,violence/harassmnt not DV,26,25/08/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/07/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,DV - partner,vulnerable - old age,64,25/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/07/2005 00:00:00,Asian/AsBrit: Other,Not Rec,relationshp brkdwn not DV,dependent children,25,25/08/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - friends,no priority need,36,25/08/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/07/2005 00:00:00,Asian/AsBrit: Indian,UK National,DV - partner,domestic violence/ threat,40,26/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - friends,no priority need,38,26/08/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/02/2004 00:00:00,Black/BlkBrit: African,Not Rec,loss of rented - other,dependent children,37,26/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/03/2005 00:00:00,White: British,Not Rec,eviction - parents,vulnerable - old age,73,30/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/07/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,vulnerable - old age,68,30/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,end AST not arrears,dependent children,26,30/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end AST not arrears,dependent children,31,30/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,resident llord eviction,vulnerable - old age,66,30/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,26/08/2005 00:00:00,White: British,Not Rec,end AST not arrears,dependent children,29,30/08/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/07/2005 00:00:00,Black/BlkBrit: African,UK National,eviction - friends,dependent children,35,31/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,resident llord eviction,dependent children,47,31/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,leaving hospital,vulnerable - old age,61,31/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,Black/BlkBrit: Other,Not Rec,end NASS accommodation,vulnerable-mental illness,19,31/08/2005 00:00:00,section 198 out,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/07/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,19,31/08/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,30/08/2005 00:00:00,Black/BlkBrit: African,Not Rec,relationshp brkdwn not DV,dependent children,27,31/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - friends,dependent children,29,31/08/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/08/2005 00:00:00,White: British,Not Rec,eviction - friends,young person 16/17 yrs,17,31/08/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/08/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,55,01/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/08/2005 00:00:00,White: British,Not Rec,relationshp brkdwn not DV,dependent children,30,01/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/08/2005 00:00:00,White: British,Not Rec,end AST not arrears,no priority need,40,01/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/11/2003 00:00:00,White: Other,Not Rec,eviction - parents,dependent children,26,01/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/08/2005 00:00:00,Black/BlkBrit: African,Other EEA National,eviction - friends,pregnant,27,02/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/05/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - parents,young person 16/17 yrs,17,02/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/08/2005 00:00:00,White: British,Not Rec,other,dependent children,16,02/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,White: Other,Not Rec,eviction - friends,dependent children,31,02/09/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - friends,dependent children,38,05/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,13/06/2005 00:00:00,White: British,UK National,DV - partner,domestic violence/ threat,20,06/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/07/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,changed immigration circs,dependent children,42,06/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/08/2005 00:00:00,Other,Not Rec,eviction - parents,dependent children,26,06/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/08/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,19,06/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,White: British,Not Rec,eviction - friends,pregnant,19,06/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,White: British,Not Rec,eviction - friends,no priority need,28,06/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,30/08/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,other,dependent children,38,06/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/07/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,40,06/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,06/09/2005 00:00:00,Black/BlkBrit: African,UK National,eviction - relatives,dependent children,18,06/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/07/2005 00:00:00,Black/BlkBrit: Other,Not Rec,relationshp brkdwn not DV,dependent children,26,06/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/08/2005 00:00:00,No Information Provided,Not Rec,DV - partner,dependent children,18,06/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/09/2005 00:00:00,White: Other,Not Rec,eviction - parents,dependent children,20,07/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/07/2005 00:00:00,White: British,Not Rec,relationshp brkdwn not DV,no priority need,30,07/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/08/2005 00:00:00,White: British,Not Rec,relationshp brkdwn not DV,dependent children,40,08/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/08/2005 00:00:00,White: British,Not Rec,end AST not arrears,dependent children,21,09/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/06/2005 00:00:00,White: British,Not Rec,rent arrears - HA,vulnerable-mental illness,22,09/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/08/2005 00:00:00,White: British,Not Rec,end AST not arrears,pregnant,24,12/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/06/2005 00:00:00,White: British,Not Rec,end tied accommodation,pregnant,22,12/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/07/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - relatives,vulnerable - old age,60,12/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,06/07/2005 00:00:00,Black/BlkBrit: Other,Not Rec,DV - partner,dependent children,28,13/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/07/2005 00:00:00,Other,Not Rec,relationshp brkdwn not DV,dependent children,33,13/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/08/2005 00:00:00,White: Other,Not Rec,end AST not arrears,dependent children,21,13/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,26/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,rent arrears - private,dependent children,29,13/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/08/2005 00:00:00,Asian/AsBrit: Other,UK National,relationshp brkdwn not DV,dependent children,44,13/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/06/2005 00:00:00,White: British,Not Rec,DV - partner,dependent children,21,13/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/07/2005 00:00:00,White: British,Not Rec,other violence,young person 16/17 yrs,16,14/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/08/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end NASS accommodation,dependent children,34,14/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/09/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - parents,vulnerable-mental illness,29,14/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/08/2005 00:00:00,Black/BlkBrit: Other,Not Rec,eviction - friends,dependent children,32,14/09/2005 00:00:00,section 198 out,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/08/2005 00:00:00,Black/BlkBrit: Other,Not Rec,eviction - friends,dependent children,27,14/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/07/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,loss of rented - other,vulnerable - physical,28,15/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/08/2005 00:00:00,Other,Not Rec,end AST not arrears,dependent children,24,15/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/09/2005 00:00:00,White: British,Not Rec,relationshp brkdwn not DV,pregnant,19,15/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/09/2005 00:00:00,White: British,Not Rec,eviction - relatives,vulnerable - old age,64,15/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/06/2005 00:00:00,No Information Provided,Not Rec,loss of rented - other,vulnerable - physical,27,15/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/09/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,18,16/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/09/2005 00:00:00,No Information Provided,Not Rec,resident llord eviction,dependent children,38,16/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/07/2005 00:00:00,Black/BlkBrit: African,Not Rec,loss of rented - other,vulnerable - physical,49,19/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/08/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,28,19/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/09/2005 00:00:00,White: British,Not Rec,end NASS accommodation,dependent children,23,19/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/09/2005 00:00:00,Black/BlkBrit: African,Not Rec,resident llord eviction,dependent children,41,19/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/08/2005 00:00:00,White: British,Not Rec,DV - partner,domestic violence/ threat,42,19/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,White: British,Not Rec,eviction - parents,vulnerable - other,21,19/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/08/2005 00:00:00,White: British,Not Rec,leaving hospital,vulnerable - physical,19,19/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/07/2005 00:00:00,White: British,Not Rec,eviction - parents,vulnerable - physical,22,20/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/08/2005 00:00:00,White: British,Not Rec,eviction - friends,vulnerable - old age,60,20/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/07/2005 00:00:00,White: Other,Not Rec,rent arrears - HA,dependent children,43,20/09/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/09/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,relationshp brkdwn not DV,no priority need,33,20/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/08/2005 00:00:00,White: British,Not Rec,leaving hospital,vulnerable-mental illness,55,21/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/09/2005 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - parents,dependent children,30,22/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/09/2005 00:00:00,Other,Not Rec,end tied accommodation,dependent children,33,22/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/08/2005 00:00:00,Black/BlkBrit: Other,Not Rec,DV - partner,dependent children,35,22/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/09/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,DV - assoc pers not partn,dependent children,31,22/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/09/2005 00:00:00,White: British,UK National,eviction - relatives,vulnerable - physical,51,22/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/09/2005 00:00:00,White: British,Not Rec,emergency e.g. fire,vulnerable - old age,65,22/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/09/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,32,22/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/07/2005 00:00:00,Black/BlkBrit: Other,Not Rec,eviction - relatives,dependent children,29,22/09/2005 00:00:00,section 198 out,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/08/2005 00:00:00,Other,Not Rec,leaving hospital,vulnerable-mental illness,29,22/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/01/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,36,23/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/05/2005 00:00:00,No Information Provided,Not Rec,rent arrears - private,pregnant,29,23/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/09/2005 00:00:00,White: British,Not Rec,end AST not arrears,dependent children,37,23/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/06/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,18,26/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/09/2005 00:00:00,White: Irish,Not Rec,DV - partner,vulnerable-mental illness,29,26/09/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/09/2005 00:00:00,Black/BlkBrit: Other,Not Rec,DV - partner,domestic violence/ threat,35,26/09/2005 00:00:00,management transfer,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/08/2005 00:00:00,White: British,Not Rec,end AST not arrears,dependent children,41,26/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/07/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,25,26/09/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/08/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,20,27/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/09/2005 00:00:00,White: British,UK National,relationshp brkdwn not DV,vulnerable - physical,40,27/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/09/2005 00:00:00,Black/BlkBrit: African,Not Rec,end NASS accommodation,dependent children,35,27/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/09/2005 00:00:00,White: Irish,Not Rec,eviction - relatives,dependent children,51,27/09/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,06/06/2005 00:00:00,White: British,Not Rec,eviction - relatives,dependent children,37,28/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/08/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,44,28/09/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/09/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - friends,young person 16/17 yrs,24,28/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/09/2005 00:00:00,White: British,Not Rec,eviction - friends,dependent children,18,28/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/09/2005 00:00:00,Mixed: White/Black Caribn,Not Rec,end AST not arrears,vulnerable-mental illness,49,28/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/06/2005 00:00:00,White: British,UK National,leaving hospital,drug dependency,27,28/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/09/2005 00:00:00,Chinese,Not Rec,DV - partner,dependent children,44,28/09/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/06/2005 00:00:00,No Information Provided,Not Rec,loss of rented - other,vulnerable - physical,27,28/09/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/08/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,41,29/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/09/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,vulnerable - physical,53,29/09/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/09/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,20,29/09/2005 00:00:00,approved permanent rehous,1
